State,Transaction_year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,latitude,longitude
arunachal-pradesh,2018,3,east siang,10539,24885270.77,26.879641,80.56982
arunachal-pradesh,2018,3,changlang,10162,20494174.95,26.879641,80.56982
arunachal-pradesh,2018,3,tawang,8715,25733824.99,26.879641,80.56982
arunachal-pradesh,2018,3,longding,5288,18327334.05,26.879641,80.56982
arunachal-pradesh,2018,3,namsai,5076,10698272.77,26.879641,80.56982
arunachal-pradesh,2018,3,west siang,3337,12966152.79,26.879641,80.56982
arunachal-pradesh,2018,3,tirap,3322,7479257.008,26.879641,80.56982
arunachal-pradesh,2018,4,papum pare,55224,154875448.2,26.879641,80.56982
arunachal-pradesh,2018,4,west kameng,25439,89194886.84,26.879641,80.56982
arunachal-pradesh,2018,4,lohit,14268,40510521.95,26.879641,80.56982
arunachal-pradesh,2018,4,changlang,13950,32343047.41,26.879641,80.56982
arunachal-pradesh,2018,4,east siang,12893,34272134.34,26.879641,80.56982
arunachal-pradesh,2018,4,tawang,11104,35921510.89,26.879641,80.56982
arunachal-pradesh,2018,4,namsai,7244,17643523.29,26.879641,80.56982
arunachal-pradesh,2018,4,longding,6581,22545311.85,26.879641,80.56982
arunachal-pradesh,2018,4,tirap,5725,10811742.67,26.879641,80.56982
arunachal-pradesh,2018,4,lower dibang valley,4227,10951332.39,26.879641,80.56982
arunachal-pradesh,2019,1,papum pare,70941,188556716.4,26.879641,80.56982
arunachal-pradesh,2019,1,west kameng,34289,101333633.7,26.879641,80.56982
arunachal-pradesh,2019,1,changlang,17589,40239141.67,26.879641,80.56982
arunachal-pradesh,2019,1,lohit,15896,42834776.78,26.879641,80.56982
arunachal-pradesh,2019,1,east siang,15621,39284373.05,26.879641,80.56982
arunachal-pradesh,2019,1,tawang,13102,39489779.14,26.879641,80.56982
arunachal-pradesh,2019,1,namsai,8600,20065516.62,26.879641,80.56982
arunachal-pradesh,2019,1,longding,7287,25349462.06,26.879641,80.56982
arunachal-pradesh,2019,1,tirap,6877,14075747.84,26.879641,80.56982
arunachal-pradesh,2019,1,lower dibang valley,6314,13738776.18,26.879641,80.56982
arunachal-pradesh,2019,2,papum pare,86433,246640891.3,26.879641,80.56982
arunachal-pradesh,2019,2,west kameng,37430,122521180.8,26.879641,80.56982
arunachal-pradesh,2019,2,lohit,18693,48893746.83,26.879641,80.56982
arunachal-pradesh,2019,2,changlang,18631,48891048.26,26.879641,80.56982
arunachal-pradesh,2019,2,east siang,16494,46549881.24,26.879641,80.56982
arunachal-pradesh,2019,2,tawang,15960,55915834.59,26.879641,80.56982
arunachal-pradesh,2019,2,namsai,9637,22491356.66,26.879641,80.56982
arunachal-pradesh,2019,2,west siang,8041,24549832.98,26.879641,80.56982
arunachal-pradesh,2019,2,tirap,6868,18633793.43,26.879641,80.56982
arunachal-pradesh,2019,2,longding,6744,23464027.89,26.879641,80.56982
arunachal-pradesh,2019,3,papum pare,117940,301518075.7,26.879641,80.56982
arunachal-pradesh,2019,3,west kameng,53939,147186019.9,26.879641,80.56982
arunachal-pradesh,2019,3,changlang,29218,58354823.44,26.879641,80.56982
arunachal-pradesh,2019,3,lohit,24505,54539458.21,26.879641,80.56982
arunachal-pradesh,2019,3,tawang,24097,72221026.28,26.879641,80.56982
