State,Year,Quarter,Brand,Transaction_count,Percentage,latitude,longitude
andhra-pradesh,2018,4,Huawei,176237,0.025700232,15.9129,79.739987
andhra-pradesh,2018,4,Lenovo,149583,0.021813341,15.9129,79.739987
andhra-pradesh,2018,4,Others,556203,0.081109789,15.9129,79.739987
andhra-pradesh,2019,1,Xiaomi,2110547,0.254804076,15.9129,79.739987
andhra-pradesh,2019,1,Samsung,1688342,0.203831719,15.9129,79.739987
andhra-pradesh,2019,1,Vivo,1262871,0.152465061,15.9129,79.739987
andhra-pradesh,2019,1,Oppo,835541,0.100873969,15.9129,79.739987
andhra-pradesh,2019,1,Realme,564832,0.068191562,15.9129,79.739987
andhra-pradesh,2019,1,Motorola,291830,0.035232323,15.9129,79.739987
andhra-pradesh,2019,1,Apple,241108,0.02910871,15.9129,79.739987
andhra-pradesh,2019,1,OnePlus,237269,0.028645232,15.9129,79.739987
andhra-pradesh,2019,1,Huawei,220082,0.026570264,15.9129,79.739987
andhra-pradesh,2019,1,Lenovo,171471,0.02070151,15.9129,79.739987
andhra-pradesh,2019,1,Others,659126,0.079575575,15.9129,79.739987
andhra-pradesh,2019,2,Xiaomi,2389374,0.254486445,15.9129,79.739987
andhra-pradesh,2019,2,Samsung,1914378,0.20389577,15.9129,79.739987
andhra-pradesh,2019,2,Vivo,1466695,0.156214137,15.9129,79.739987
andhra-pradesh,2019,2,Oppo,963352,0.102604291,15.9129,79.739987
andhra-pradesh,2019,2,Realme,641519,0.068326637,15.9129,79.739987
andhra-pradesh,2019,2,Motorola,324778,0.034591319,15.9129,79.739987
andhra-pradesh,2019,2,Apple,264860,0.028209598,15.9129,79.739987
andhra-pradesh,2019,2,OnePlus,254273,0.027082002,15.9129,79.739987
andhra-pradesh,2019,2,Huawei,250859,0.026718385,15.9129,79.739987
andhra-pradesh,2019,2,Lenovo,189151,0.020146016,15.9129,79.739987
andhra-pradesh,2019,2,Others,729764,0.077725399,15.9129,79.739987
andhra-pradesh,2019,3,Xiaomi,2656468,0.253996173,15.9129,79.739987
andhra-pradesh,2019,3,Samsung,2123659,0.203052045,15.9129,79.739987
