State,Transaction_Year,Quarter,District,RegisteredUsers,latitude,longitude
arunachal-pradesh,2018,2,shi yomi district,80,26.879641,80.56982
arunachal-pradesh,2018,2,east kameng district,343,26.879641,80.56982
arunachal-pradesh,2018,2,lohit district,1898,26.879641,80.56982
arunachal-pradesh,2018,2,lepa rada district,318,26.879641,80.56982
arunachal-pradesh,2018,2,lower dibang valley district,893,26.879641,80.56982
arunachal-pradesh,2018,2,longding district,412,26.879641,80.56982
arunachal-pradesh,2018,2,west siang district,1224,26.879641,80.56982
arunachal-pradesh,2018,2,kamle district,37,26.879641,80.56982
arunachal-pradesh,2018,2,upper siang district,481,26.879641,80.56982
arunachal-pradesh,2018,2,kurung kumey district,153,26.879641,80.56982
arunachal-pradesh,2018,2,siang district,293,26.879641,80.56982
arunachal-pradesh,2018,2,kra daadi district,144,26.879641,80.56982
arunachal-pradesh,2018,2,changlang district,2014,26.879641,80.56982
arunachal-pradesh,2018,2,pakke kessang district,66,26.879641,80.56982
arunachal-pradesh,2018,2,east siang district,2646,26.879641,80.56982
arunachal-pradesh,2018,2,upper subansiri district,883,26.879641,80.56982
arunachal-pradesh,2018,2,tawang district,2266,26.879641,80.56982
arunachal-pradesh,2018,2,namsai district,1276,26.879641,80.56982
arunachal-pradesh,2018,3,lower subansiri district,1033,26.879641,80.56982
arunachal-pradesh,2018,3,tirap district,1226,26.879641,80.56982
arunachal-pradesh,2018,3,papum pare district,16009,26.879641,80.56982
arunachal-pradesh,2018,3,anjaw district,542,26.879641,80.56982
arunachal-pradesh,2018,3,lower siang district,717,26.879641,80.56982
arunachal-pradesh,2018,3,dibang valley district,145,26.879641,80.56982
arunachal-pradesh,2018,3,west kameng district,4765,26.879641,80.56982
arunachal-pradesh,2018,3,shi yomi district,118,26.879641,80.56982
arunachal-pradesh,2018,3,east kameng district,521,26.879641,80.56982
arunachal-pradesh,2018,3,lohit district,2612,26.879641,80.56982
arunachal-pradesh,2018,3,lepa rada district,431,26.879641,80.56982
arunachal-pradesh,2018,3,lower dibang valley district,1286,26.879641,80.56982
arunachal-pradesh,2018,3,longding district,644,26.879641,80.56982
arunachal-pradesh,2018,3,west siang district,1652,26.879641,80.56982
arunachal-pradesh,2018,3,kamle district,65,26.879641,80.56982
arunachal-pradesh,2018,3,upper siang district,646,26.879641,80.56982
arunachal-pradesh,2018,3,kurung kumey district,222,26.879641,80.56982
arunachal-pradesh,2018,3,siang district,373,26.879641,80.56982
arunachal-pradesh,2018,3,kra daadi district,190,26.879641,80.56982
arunachal-pradesh,2018,3,changlang district,2889,26.879641,80.56982
arunachal-pradesh,2018,3,pakke kessang district,103,26.879641,80.56982
arunachal-pradesh,2018,3,east siang district,3590,26.879641,80.56982
arunachal-pradesh,2018,3,upper subansiri district,1169,26.879641,80.56982
arunachal-pradesh,2018,3,tawang district,3112,26.879641,80.56982
arunachal-pradesh,2018,3,namsai district,1862,26.879641,80.56982
arunachal-pradesh,2018,4,lower subansiri district,1459,26.879641,80.56982
arunachal-pradesh,2018,4,tirap district,1684,26.879641,80.56982
arunachal-pradesh,2018,4,papum pare district,21342,26.879641,80.56982
arunachal-pradesh,2018,4,anjaw district,744,26.879641,80.56982
arunachal-pradesh,2018,4,lower siang district,936,26.879641,80.56982
arunachal-pradesh,2018,4,dibang valley district,178,26.879641,80.56982
