State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2021,1,kurnool,1323411,15.9129,79.739987
andhra-pradesh,2021,1,west godavari,1254117,15.9129,79.739987
andhra-pradesh,2021,1,spsr nellore,1100541,15.9129,79.739987
andhra-pradesh,2021,1,prakasam,1075936,15.9129,79.739987
andhra-pradesh,2021,2,visakhapatnam,2526830,15.9129,79.739987
andhra-pradesh,2021,2,east godavari,2006272,15.9129,79.739987
andhra-pradesh,2021,2,krishna,2002662,15.9129,79.739987
andhra-pradesh,2021,2,guntur,1968681,15.9129,79.739987
andhra-pradesh,2021,2,chittoor,1870723,15.9129,79.739987
andhra-pradesh,2021,2,anantapur,1492738,15.9129,79.739987
andhra-pradesh,2021,2,kurnool,1415585,15.9129,79.739987
andhra-pradesh,2021,2,west godavari,1339377,15.9129,79.739987
andhra-pradesh,2021,2,spsr nellore,1176334,15.9129,79.739987
andhra-pradesh,2021,2,prakasam,1151232,15.9129,79.739987
andhra-pradesh,2021,3,visakhapatnam,2707931,15.9129,79.739987
andhra-pradesh,2021,3,east godavari,2150622,15.9129,79.739987
andhra-pradesh,2021,3,krishna,2145423,15.9129,79.739987
andhra-pradesh,2021,3,guntur,2110878,15.9129,79.739987
andhra-pradesh,2021,3,chittoor,2007011,15.9129,79.739987
andhra-pradesh,2021,3,anantapur,1606735,15.9129,79.739987
andhra-pradesh,2021,3,kurnool,1522196,15.9129,79.739987
andhra-pradesh,2021,3,west godavari,1436576,15.9129,79.739987
andhra-pradesh,2021,3,spsr nellore,1263550,15.9129,79.739987
andhra-pradesh,2021,3,prakasam,1239147,15.9129,79.739987
andhra-pradesh,2021,4,visakhapatnam,2888774,15.9129,79.739987
andhra-pradesh,2021,4,east godavari,2294347,15.9129,79.739987
andhra-pradesh,2021,4,krishna,2288148,15.9129,79.739987
andhra-pradesh,2021,4,guntur,2252443,15.9129,79.739987
andhra-pradesh,2021,4,chittoor,2141818,15.9129,79.739987
andhra-pradesh,2021,4,anantapur,1719437,15.9129,79.739987
andhra-pradesh,2021,4,kurnool,1628242,15.9129,79.739987
andhra-pradesh,2021,4,west godavari,1532898,15.9129,79.739987
andhra-pradesh,2021,4,spsr nellore,1349290,15.9129,79.739987
andhra-pradesh,2021,4,prakasam,1325728,15.9129,79.739987
